,training_points,PVP 0 roberta neutral verbalizer seed 1 - _step,PVP 0 roberta neutral verbalizer seed 1 - _step__MIN,PVP 0 roberta neutral verbalizer seed 1 - _step__MAX,PVP 0 roberta neutral verbalizer seed 1 - test-acc-all-p,PVP 0 roberta neutral verbalizer seed 1 - test-acc-all-p__MIN,PVP 0 roberta neutral verbalizer seed 1 - test-acc-all-p__MAX,PVP 5 roberta seed 0 - _step,PVP 5 roberta seed 0 - _step__MIN,PVP 5 roberta seed 0 - _step__MAX,PVP 5 roberta seed 0 - test-acc-all-p,PVP 5 roberta seed 0 - test-acc-all-p__MIN,PVP 5 roberta seed 0 - test-acc-all-p__MAX,CLF roberta seed 2 - _step,CLF roberta seed 2 - _step__MIN,CLF roberta seed 2 - _step__MAX,CLF roberta seed 2 - test-acc-all-p,CLF roberta seed 2 - test-acc-all-p__MIN,CLF roberta seed 2 - test-acc-all-p__MAX,PVP 3 roberta seed 2 - _step,PVP 3 roberta seed 2 - _step__MIN,PVP 3 roberta seed 2 - _step__MAX,PVP 3 roberta seed 2 - test-acc-all-p,PVP 3 roberta seed 2 - test-acc-all-p__MIN,PVP 3 roberta seed 2 - test-acc-all-p__MAX,PVP 5 roberta seed 2 - _step,PVP 5 roberta seed 2 - _step__MIN,PVP 5 roberta seed 2 - _step__MAX,PVP 5 roberta seed 2 - test-acc-all-p,PVP 5 roberta seed 2 - test-acc-all-p__MIN,PVP 5 roberta seed 2 - test-acc-all-p__MAX,PVP 0 roberta seed 1 - _step,PVP 0 roberta seed 1 - _step__MIN,PVP 0 roberta seed 1 - _step__MAX,PVP 0 roberta seed 1 - test-acc-all-p,PVP 0 roberta seed 1 - test-acc-all-p__MIN,PVP 0 roberta seed 1 - test-acc-all-p__MAX,PVP 0 roberta seed 2 - _step,PVP 0 roberta seed 2 - _step__MIN,PVP 0 roberta seed 2 - _step__MAX,PVP 0 roberta seed 2 - test-acc-all-p,PVP 0 roberta seed 2 - test-acc-all-p__MIN,PVP 0 roberta seed 2 - test-acc-all-p__MAX,PVP 3 roberta seed 0 - _step,PVP 3 roberta seed 0 - _step__MIN,PVP 3 roberta seed 0 - _step__MAX,PVP 3 roberta seed 0 - test-acc-all-p,PVP 3 roberta seed 0 - test-acc-all-p__MIN,PVP 3 roberta seed 0 - test-acc-all-p__MAX,PVP 0 roberta neutral verbalizer seed 2 - _step,PVP 0 roberta neutral verbalizer seed 2 - _step__MIN,PVP 0 roberta neutral verbalizer seed 2 - _step__MAX,PVP 0 roberta neutral verbalizer seed 2 - test-acc-all-p,PVP 0 roberta neutral verbalizer seed 2 - test-acc-all-p__MIN,PVP 0 roberta neutral verbalizer seed 2 - test-acc-all-p__MAX,PVP 0 roberta seed 0 - _step,PVP 0 roberta seed 0 - _step__MIN,PVP 0 roberta seed 0 - _step__MAX,PVP 0 roberta seed 0 - test-acc-all-p,PVP 0 roberta seed 0 - test-acc-all-p__MIN,PVP 0 roberta seed 0 - test-acc-all-p__MAX,PVP 3 roberta seed 1 - _step,PVP 3 roberta seed 1 - _step__MIN,PVP 3 roberta seed 1 - _step__MAX,PVP 3 roberta seed 1 - test-acc-all-p,PVP 3 roberta seed 1 - test-acc-all-p__MIN,PVP 3 roberta seed 1 - test-acc-all-p__MAX,PVP 5 roberta seed 1 - _step,PVP 5 roberta seed 1 - _step__MIN,PVP 5 roberta seed 1 - _step__MAX,PVP 5 roberta seed 1 - test-acc-all-p,PVP 5 roberta seed 1 - test-acc-all-p__MIN,PVP 5 roberta seed 1 - test-acc-all-p__MAX,PVP 0 roberta neutral verbalizer seed 0 - _step,PVP 0 roberta neutral verbalizer seed 0 - _step__MIN,PVP 0 roberta neutral verbalizer seed 0 - _step__MAX,PVP 0 roberta neutral verbalizer seed 0 - test-acc-all-p,PVP 0 roberta neutral verbalizer seed 0 - test-acc-all-p__MIN,PVP 0 roberta neutral verbalizer seed 0 - test-acc-all-p__MAX,PVP 5 roberta neutral verbalizer seed 2 - _step,PVP 5 roberta neutral verbalizer seed 2 - _step__MIN,PVP 5 roberta neutral verbalizer seed 2 - _step__MAX,PVP 5 roberta neutral verbalizer seed 2 - test-acc-all-p,PVP 5 roberta neutral verbalizer seed 2 - test-acc-all-p__MIN,PVP 5 roberta neutral verbalizer seed 2 - test-acc-all-p__MAX,PVP 3 roberta neutral verbalizer seed 1 - _step,PVP 3 roberta neutral verbalizer seed 1 - _step__MIN,PVP 3 roberta neutral verbalizer seed 1 - _step__MAX,PVP 3 roberta neutral verbalizer seed 1 - test-acc-all-p,PVP 3 roberta neutral verbalizer seed 1 - test-acc-all-p__MIN,PVP 3 roberta neutral verbalizer seed 1 - test-acc-all-p__MAX,PVP 5 roberta neutral verbalizer seed 1 - _step,PVP 5 roberta neutral verbalizer seed 1 - _step__MIN,PVP 5 roberta neutral verbalizer seed 1 - _step__MAX,PVP 5 roberta neutral verbalizer seed 1 - test-acc-all-p,PVP 5 roberta neutral verbalizer seed 1 - test-acc-all-p__MIN,PVP 5 roberta neutral verbalizer seed 1 - test-acc-all-p__MAX,PVP 3 roberta neutral verbalizer seed 2 - _step,PVP 3 roberta neutral verbalizer seed 2 - _step__MIN,PVP 3 roberta neutral verbalizer seed 2 - _step__MAX,PVP 3 roberta neutral verbalizer seed 2 - test-acc-all-p,PVP 3 roberta neutral verbalizer seed 2 - test-acc-all-p__MIN,PVP 3 roberta neutral verbalizer seed 2 - test-acc-all-p__MAX,PVP 5 roberta neutral verbalizer seed 0 - _step,PVP 5 roberta neutral verbalizer seed 0 - _step__MIN,PVP 5 roberta neutral verbalizer seed 0 - _step__MAX,PVP 5 roberta neutral verbalizer seed 0 - test-acc-all-p,PVP 5 roberta neutral verbalizer seed 0 - test-acc-all-p__MIN,PVP 5 roberta neutral verbalizer seed 0 - test-acc-all-p__MAX,PVP 3 roberta neutral verbalizer seed 0 - _step,PVP 3 roberta neutral verbalizer seed 0 - _step__MIN,PVP 3 roberta neutral verbalizer seed 0 - _step__MAX,PVP 3 roberta neutral verbalizer seed 0 - test-acc-all-p,PVP 3 roberta neutral verbalizer seed 0 - test-acc-all-p__MIN,PVP 3 roberta neutral verbalizer seed 0 - test-acc-all-p__MAX,CLF roberta seed 1 - _step,CLF roberta seed 1 - _step__MIN,CLF roberta seed 1 - _step__MAX,CLF roberta seed 1 - test-acc-all-p,CLF roberta seed 1 - test-acc-all-p__MIN,CLF roberta seed 1 - test-acc-all-p__MAX,CLF roberta seed 0 - _step,CLF roberta seed 0 - _step__MIN,CLF roberta seed 0 - _step__MAX,CLF roberta seed 0 - test-acc-all-p,CLF roberta seed 0 - test-acc-all-p__MIN,CLF roberta seed 0 - test-acc-all-p__MAX
0,10,0,0,0,0.6027522935779817,0.6027522935779817,0.6027522935779817,0,0,0,0.6550458715596329,0.6550458715596329,0.6550458715596329,0,0,0,0.6217125382262997,0.6217125382262997,0.6217125382262997,0.0,0.0,0.0,0.618348623853211,0.618348623853211,0.618348623853211,0.0,0.0,0.0,0.6550458715596329,0.6550458715596329,0.6550458715596329,0.0,0.0,0.0,0.7067278287461773,0.7067278287461773,0.7067278287461773,0.0,0.0,0.0,0.7067278287461773,0.7067278287461773,0.7067278287461773,0,0,0,0.6223241590214067,0.6223241590214067,0.6223241590214067,0.0,0.0,0.0,0.6027522935779817,0.6027522935779817,0.6027522935779817,0,0,0,0.7067278287461773,0.7067278287461773,0.7067278287461773,0.0,0.0,0.0,0.6244648318042814,0.6244648318042814,0.6244648318042814,0.0,0.0,0.0,0.6550458715596329,0.6550458715596329,0.6550458715596329,0.0,0.0,0.0,0.6027522935779817,0.6027522935779817,0.6027522935779817,0.0,0.0,0.0,0.6223241590214067,0.6223241590214067,0.6223241590214067,0.0,0.0,0.0,0.6211009174311927,0.6211009174311927,0.6211009174311927,0,0,0,0.6223241590214067,0.6223241590214067,0.6223241590214067,0,0,0,0.6211009174311927,0.6211009174311927,0.6211009174311927,0.0,0.0,0.0,0.6223241590214067,0.6223241590214067,0.6223241590214067,0.0,0.0,0.0,0.6211009174311927,0.6211009174311927,0.6211009174311927,0,0,0,0.6211009174311927,0.6211009174311927,0.6211009174311927,0.0,0.0,0.0,0.6211009174311927,0.6211009174311927,0.6211009174311927
1,15,1,1,1,0.6131498470948012,0.6131498470948012,0.6131498470948012,1,1,1,0.653211009174312,0.653211009174312,0.653211009174312,1,1,1,0.6217125382262997,0.6217125382262997,0.6217125382262997,1.0,1.0,1.0,0.6388379204892967,0.6388379204892967,0.6388379204892967,1.0,1.0,1.0,0.654434250764526,0.654434250764526,0.654434250764526,1.0,1.0,1.0,0.6880733944954128,0.6880733944954128,0.6880733944954128,1.0,1.0,1.0,0.6880733944954128,0.6880733944954128,0.6880733944954128,1,1,1,0.6425076452599389,0.6425076452599389,0.6425076452599389,,,,,,,1,1,1,0.6880733944954128,0.6880733944954128,0.6880733944954128,1.0,1.0,1.0,0.6266055045871559,0.6266055045871559,0.6266055045871559,1.0,1.0,1.0,0.6535168195718655,0.6535168195718655,0.6535168195718655,1.0,1.0,1.0,0.6131498470948012,0.6131498470948012,0.6131498470948012,1.0,1.0,1.0,0.6207951070336392,0.6207951070336392,0.6207951070336392,1.0,1.0,1.0,0.617737003058104,0.617737003058104,0.617737003058104,1,1,1,0.6207951070336392,0.6207951070336392,0.6207951070336392,1,1,1,0.617737003058104,0.617737003058104,0.617737003058104,1.0,1.0,1.0,0.6207951070336392,0.6207951070336392,0.6207951070336392,1.0,1.0,1.0,0.617737003058104,0.617737003058104,0.617737003058104,1,1,1,0.6211009174311927,0.6211009174311927,0.6211009174311927,1.0,1.0,1.0,0.6211009174311927,0.6211009174311927,0.6211009174311927
2,20,2,2,2,0.5972477064220183,0.5972477064220183,0.5972477064220183,2,2,2,0.6492354740061163,0.6492354740061163,0.6492354740061163,2,2,2,0.6217125382262997,0.6217125382262997,0.6217125382262997,2.0,2.0,2.0,0.6256880733944954,0.6256880733944954,0.6256880733944954,2.0,2.0,2.0,0.653822629969419,0.653822629969419,0.653822629969419,2.0,2.0,2.0,0.7082568807339449,0.7082568807339449,0.7082568807339449,2.0,2.0,2.0,0.7082568807339449,0.7082568807339449,0.7082568807339449,2,2,2,0.6474006116207951,0.6474006116207951,0.6474006116207951,,,,,,,2,2,2,0.7082568807339449,0.7082568807339449,0.7082568807339449,2.0,2.0,2.0,0.599388379204893,0.599388379204893,0.599388379204893,,,,,,,2.0,2.0,2.0,0.5981651376146789,0.5981651376146789,0.5981651376146789,2.0,2.0,2.0,0.6217125382262997,0.6217125382262997,0.6217125382262997,2.0,2.0,2.0,0.6207951070336392,0.6207951070336392,0.6207951070336392,2,2,2,0.6207951070336392,0.6207951070336392,0.6207951070336392,2,2,2,0.6207951070336392,0.6207951070336392,0.6207951070336392,2.0,2.0,2.0,0.6207951070336392,0.6207951070336392,0.6207951070336392,2.0,2.0,2.0,0.6207951070336392,0.6207951070336392,0.6207951070336392,2,2,2,0.6211009174311927,0.6211009174311927,0.6211009174311927,2.0,2.0,2.0,0.6211009174311927,0.6211009174311927,0.6211009174311927
3,32,3,3,3,0.600611620795107,0.600611620795107,0.600611620795107,3,3,3,0.6889908256880733,0.6889908256880733,0.6889908256880733,3,3,3,0.6217125382262997,0.6217125382262997,0.6217125382262997,3.0,3.0,3.0,0.6363914373088685,0.6363914373088685,0.6363914373088685,3.0,3.0,3.0,0.6889908256880733,0.6889908256880733,0.6889908256880733,3.0,3.0,3.0,0.7009174311926606,0.7009174311926606,0.7009174311926606,3.0,3.0,3.0,0.7009174311926606,0.7009174311926606,0.7009174311926606,3,3,3,0.6409785932721712,0.6409785932721712,0.6409785932721712,1.0,1.0,1.0,0.5899082568807339,0.5899082568807339,0.5899082568807339,3,3,3,0.7009174311926606,0.7009174311926606,0.7009174311926606,3.0,3.0,3.0,0.6379204892966361,0.6379204892966361,0.6379204892966361,2.0,2.0,2.0,0.6932721712538227,0.6932721712538227,0.6932721712538227,3.0,3.0,3.0,0.5954128440366973,0.5954128440366973,0.5954128440366973,3.0,3.0,3.0,0.6051987767584098,0.6051987767584098,0.6051987767584098,3.0,3.0,3.0,0.6217125382262997,0.6217125382262997,0.6217125382262997,3,3,3,0.6168195718654435,0.6168195718654435,0.6168195718654435,3,3,3,0.6220183486238532,0.6220183486238532,0.6220183486238532,3.0,3.0,3.0,0.608868501529052,0.608868501529052,0.608868501529052,3.0,3.0,3.0,0.6195718654434251,0.6195718654434251,0.6195718654434251,3,3,3,0.6211009174311927,0.6211009174311927,0.6211009174311927,,,,,,
4,50,4,4,4,0.7103975535168195,0.7103975535168195,0.7103975535168195,4,4,4,0.6896024464831805,0.6896024464831805,0.6896024464831805,4,4,4,0.6217125382262997,0.6217125382262997,0.6217125382262997,4.0,4.0,4.0,0.710091743119266,0.710091743119266,0.710091743119266,4.0,4.0,4.0,0.6960244648318042,0.6960244648318042,0.6960244648318042,4.0,4.0,4.0,0.7027522935779816,0.7027522935779816,0.7027522935779816,,,,,,,4,4,4,0.6886850152905198,0.6886850152905198,0.6886850152905198,2.0,2.0,2.0,0.7296636085626911,0.7296636085626911,0.7296636085626911,4,4,4,0.7027522935779816,0.7027522935779816,0.7027522935779816,4.0,4.0,4.0,0.710091743119266,0.710091743119266,0.710091743119266,3.0,3.0,3.0,0.7168195718654434,0.7168195718654434,0.7168195718654434,,,,,,,4.0,4.0,4.0,0.6061162079510704,0.6061162079510704,0.6061162079510704,4.0,4.0,4.0,0.6103975535168196,0.6103975535168196,0.6103975535168196,4,4,4,0.6131498470948012,0.6131498470948012,0.6131498470948012,4,4,4,0.6116207951070336,0.6116207951070336,0.6116207951070336,4.0,4.0,4.0,0.6094801223241589,0.6094801223241589,0.6094801223241589,4.0,4.0,4.0,0.6100917431192661,0.6100917431192661,0.6100917431192661,4,4,4,0.6211009174311927,0.6211009174311927,0.6211009174311927,3.0,3.0,3.0,0.6217125382262997,0.6217125382262997,0.6217125382262997
5,70,5,5,5,0.7461773700305809,0.7461773700305809,0.7461773700305809,5,5,5,0.6837920489296636,0.6837920489296636,0.6837920489296636,5,5,5,0.6217125382262997,0.6217125382262997,0.6217125382262997,5.0,5.0,5.0,0.6981651376146789,0.6981651376146789,0.6981651376146789,5.0,5.0,5.0,0.7168195718654434,0.7168195718654434,0.7168195718654434,5.0,5.0,5.0,0.7003058103975535,0.7003058103975535,0.7003058103975535,4.0,4.0,4.0,0.7009174311926606,0.7009174311926606,0.7009174311926606,5,5,5,0.6801223241590214,0.6801223241590214,0.6801223241590214,3.0,3.0,3.0,0.7073394495412844,0.7073394495412844,0.7073394495412844,5,5,5,0.7012232415902141,0.7012232415902141,0.7012232415902141,5.0,5.0,5.0,0.6981651376146789,0.6981651376146789,0.6981651376146789,4.0,4.0,4.0,0.7140672782874617,0.7140672782874617,0.7140672782874617,4.0,4.0,4.0,0.7461773700305809,0.7461773700305809,0.7461773700305809,5.0,5.0,5.0,0.5899082568807339,0.5899082568807339,0.5899082568807339,5.0,5.0,5.0,0.5859327217125382,0.5859327217125382,0.5859327217125382,5,5,5,0.5480122324159021,0.5480122324159021,0.5480122324159021,5,5,5,0.6100917431192661,0.6100917431192661,0.6100917431192661,5.0,5.0,5.0,0.5899082568807339,0.5899082568807339,0.5899082568807339,5.0,5.0,5.0,0.501223241590214,0.501223241590214,0.501223241590214,5,5,5,0.6211009174311927,0.6211009174311927,0.6211009174311927,4.0,4.0,4.0,0.6217125382262997,0.6217125382262997,0.6217125382262997
6,100,6,6,6,0.7489296636085627,0.7489296636085627,0.7489296636085627,6,6,6,0.7302752293577982,0.7302752293577982,0.7302752293577982,6,6,6,0.6217125382262997,0.6217125382262997,0.6217125382262997,6.0,6.0,6.0,0.7519877675840979,0.7519877675840979,0.7519877675840979,6.0,6.0,6.0,0.7250764525993884,0.7250764525993884,0.7250764525993884,6.0,6.0,6.0,0.6944954128440367,0.6944954128440367,0.6944954128440367,5.0,5.0,5.0,0.6923547400611619,0.6923547400611619,0.6923547400611619,6,6,6,0.6987767584097859,0.6987767584097859,0.6987767584097859,4.0,4.0,4.0,0.7177370030581041,0.7177370030581041,0.7177370030581041,6,6,6,0.7229357798165138,0.7229357798165138,0.7229357798165138,6.0,6.0,6.0,0.7519877675840979,0.7519877675840979,0.7519877675840979,5.0,5.0,5.0,0.7287461773700306,0.7287461773700306,0.7287461773700306,5.0,5.0,5.0,0.7446483180428135,0.7446483180428135,0.7446483180428135,6.0,6.0,6.0,0.6299694189602446,0.6299694189602446,0.6299694189602446,6.0,6.0,6.0,0.5951070336391437,0.5951070336391437,0.5951070336391437,6,6,6,0.6076452599388379,0.6076452599388379,0.6076452599388379,6,6,6,0.5954128440366973,0.5954128440366973,0.5954128440366973,6.0,6.0,6.0,0.6076452599388379,0.6076452599388379,0.6076452599388379,6.0,6.0,6.0,0.6847094801223241,0.6847094801223241,0.6847094801223241,6,6,6,0.6211009174311927,0.6211009174311927,0.6211009174311927,5.0,5.0,5.0,0.6217125382262997,0.6217125382262997,0.6217125382262997
7,140,7,7,7,0.7318042813455657,0.7318042813455657,0.7318042813455657,7,7,7,0.7345565749235474,0.7345565749235474,0.7345565749235474,7,7,7,0.6217125382262997,0.6217125382262997,0.6217125382262997,7.0,7.0,7.0,0.7446483180428135,0.7446483180428135,0.7446483180428135,7.0,7.0,7.0,0.7345565749235474,0.7345565749235474,0.7345565749235474,7.0,7.0,7.0,0.7214067278287462,0.7214067278287462,0.7214067278287462,,,,,,,7,7,7,0.7229357798165138,0.7229357798165138,0.7229357798165138,5.0,5.0,5.0,0.5776758409785933,0.5776758409785933,0.5776758409785933,7,7,7,0.7290519877675841,0.7290519877675841,0.7290519877675841,7.0,7.0,7.0,0.7605504587155963,0.7605504587155963,0.7605504587155963,6.0,6.0,6.0,0.7388379204892966,0.7388379204892966,0.7388379204892966,,,,,,,7.0,7.0,7.0,0.6370030581039755,0.6370030581039755,0.6370030581039755,7.0,7.0,7.0,0.6896024464831805,0.6896024464831805,0.6896024464831805,7,7,7,0.6119266055045871,0.6119266055045871,0.6119266055045871,7,7,7,0.6896024464831805,0.6896024464831805,0.6896024464831805,7.0,7.0,7.0,0.6412844036697247,0.6412844036697247,0.6412844036697247,7.0,7.0,7.0,0.6633027522935779,0.6633027522935779,0.6633027522935779,7,7,7,0.6211009174311927,0.6211009174311927,0.6211009174311927,6.0,6.0,6.0,0.6217125382262997,0.6217125382262997,0.6217125382262997
8,200,8,8,8,0.7403669724770642,0.7403669724770642,0.7403669724770642,8,8,8,0.7290519877675841,0.7290519877675841,0.7290519877675841,8,8,8,0.6217125382262997,0.6217125382262997,0.6217125382262997,8.0,8.0,8.0,0.7195718654434251,0.7195718654434251,0.7195718654434251,8.0,8.0,8.0,0.7415902140672783,0.7415902140672783,0.7415902140672783,,,,,,,6.0,6.0,6.0,0.709480122324159,0.709480122324159,0.709480122324159,8,8,8,0.7437308868501529,0.7437308868501529,0.7437308868501529,6.0,6.0,6.0,0.7067278287461773,0.7067278287461773,0.7067278287461773,8,8,8,0.7455657492354741,0.7455657492354741,0.7455657492354741,8.0,8.0,8.0,0.7443425076452599,0.7443425076452599,0.7443425076452599,7.0,7.0,7.0,0.7128440366972477,0.7128440366972477,0.7128440366972477,6.0,6.0,6.0,0.7403669724770642,0.7403669724770642,0.7403669724770642,,,,,,,,,,,,,8,8,8,0.6831804281345566,0.6831804281345566,0.6831804281345566,8,8,8,0.7220183486238532,0.7220183486238532,0.7220183486238532,,,,,,,,,,,,,8,8,8,0.6211009174311927,0.6211009174311927,0.6211009174311927,7.0,7.0,7.0,0.6217125382262997,0.6217125382262997,0.6217125382262997
9,320,9,9,9,0.7651376146788991,0.7651376146788991,0.7651376146788991,9,9,9,0.7446483180428135,0.7446483180428135,0.7446483180428135,9,9,9,0.6217125382262997,0.6217125382262997,0.6217125382262997,9.0,9.0,9.0,0.7715596330275231,0.7715596330275231,0.7715596330275231,9.0,9.0,9.0,0.7186544342507645,0.7186544342507645,0.7186544342507645,8.0,8.0,8.0,0.7155963302752294,0.7155963302752294,0.7155963302752294,7.0,7.0,7.0,0.7516819571865443,0.7516819571865443,0.7516819571865443,9,9,9,0.7642201834862385,0.7642201834862385,0.7642201834862385,7.0,7.0,7.0,0.7489296636085627,0.7489296636085627,0.7489296636085627,9,9,9,0.7593272171253823,0.7593272171253823,0.7593272171253823,9.0,9.0,9.0,0.7715596330275231,0.7715596330275231,0.7715596330275231,8.0,8.0,8.0,0.7547400611620795,0.7547400611620795,0.7547400611620795,7.0,7.0,7.0,0.7651376146788991,0.7651376146788991,0.7651376146788991,8.0,8.0,8.0,0.7048929663608563,0.7048929663608563,0.7048929663608563,8.0,8.0,8.0,0.7379204892966361,0.7379204892966361,0.7379204892966361,9,9,9,0.6828746177370031,0.6828746177370031,0.6828746177370031,9,9,9,0.7250764525993884,0.7250764525993884,0.7250764525993884,8.0,8.0,8.0,0.6828746177370031,0.6828746177370031,0.6828746177370031,8.0,8.0,8.0,0.6758409785932722,0.6758409785932722,0.6758409785932722,9,9,9,0.6211009174311927,0.6211009174311927,0.6211009174311927,8.0,8.0,8.0,0.6217125382262997,0.6217125382262997,0.6217125382262997
