"training_points","PVP 1 roberta seed 0 - _step","PVP 1 roberta seed 0 - _step__MIN","PVP 1 roberta seed 0 - _step__MAX","PVP 1 roberta seed 0 - test-acc-all-p","PVP 1 roberta seed 0 - test-acc-all-p__MIN","PVP 1 roberta seed 0 - test-acc-all-p__MAX","PVP 1 roberta seed 3 - _step","PVP 1 roberta seed 3 - _step__MIN","PVP 1 roberta seed 3 - _step__MAX","PVP 1 roberta seed 3 - test-acc-all-p","PVP 1 roberta seed 3 - test-acc-all-p__MIN","PVP 1 roberta seed 3 - test-acc-all-p__MAX","PVP 1 roberta seed 2 - _step","PVP 1 roberta seed 2 - _step__MIN","PVP 1 roberta seed 2 - _step__MAX","PVP 1 roberta seed 2 - test-acc-all-p","PVP 1 roberta seed 2 - test-acc-all-p__MIN","PVP 1 roberta seed 2 - test-acc-all-p__MAX","PVP 1 roberta seed 1 - _step","PVP 1 roberta seed 1 - _step__MIN","PVP 1 roberta seed 1 - _step__MAX","PVP 1 roberta seed 1 - test-acc-all-p","PVP 1 roberta seed 1 - test-acc-all-p__MIN","PVP 1 roberta seed 1 - test-acc-all-p__MAX","PVP 0 roberta seed 1 - _step","PVP 0 roberta seed 1 - _step__MIN","PVP 0 roberta seed 1 - _step__MAX","PVP 0 roberta seed 1 - test-acc-all-p","PVP 0 roberta seed 1 - test-acc-all-p__MIN","PVP 0 roberta seed 1 - test-acc-all-p__MAX","PVP 0 roberta seed 0 - _step","PVP 0 roberta seed 0 - _step__MIN","PVP 0 roberta seed 0 - _step__MAX","PVP 0 roberta seed 0 - test-acc-all-p","PVP 0 roberta seed 0 - test-acc-all-p__MIN","PVP 0 roberta seed 0 - test-acc-all-p__MAX","CLF roberta seed 1 - _step","CLF roberta seed 1 - _step__MIN","CLF roberta seed 1 - _step__MAX","CLF roberta seed 1 - test-acc-all-p","CLF roberta seed 1 - test-acc-all-p__MIN","CLF roberta seed 1 - test-acc-all-p__MAX","PVP 0 roberta seed 2 - _step","PVP 0 roberta seed 2 - _step__MIN","PVP 0 roberta seed 2 - _step__MAX","PVP 0 roberta seed 2 - test-acc-all-p","PVP 0 roberta seed 2 - test-acc-all-p__MIN","PVP 0 roberta seed 2 - test-acc-all-p__MAX","PVP 0 roberta seed 3 - _step","PVP 0 roberta seed 3 - _step__MIN","PVP 0 roberta seed 3 - _step__MAX","PVP 0 roberta seed 3 - test-acc-all-p","PVP 0 roberta seed 3 - test-acc-all-p__MIN","PVP 0 roberta seed 3 - test-acc-all-p__MAX","CLF roberta seed 2 - _step","CLF roberta seed 2 - _step__MIN","CLF roberta seed 2 - _step__MAX","CLF roberta seed 2 - test-acc-all-p","CLF roberta seed 2 - test-acc-all-p__MIN","CLF roberta seed 2 - test-acc-all-p__MAX","CLF roberta seed 3 - _step","CLF roberta seed 3 - _step__MIN","CLF roberta seed 3 - _step__MAX","CLF roberta seed 3 - test-acc-all-p","CLF roberta seed 3 - test-acc-all-p__MIN","CLF roberta seed 3 - test-acc-all-p__MAX","CLF roberta seed 0 - _step","CLF roberta seed 0 - _step__MIN","CLF roberta seed 0 - _step__MAX","CLF roberta seed 0 - test-acc-all-p","CLF roberta seed 0 - test-acc-all-p__MIN","CLF roberta seed 0 - test-acc-all-p__MAX"
"10","0","0","0","0.67","0.67","0.67","0","0","0","0.61","0.61","0.61","0","0","0","0.66","0.66","0.66","0","0","0","0.73","0.73","0.73","0","0","0","0.69","0.69","0.69","0","0","0","0.69","0.69","0.69","0","0","0","0.41","0.41","0.41","0","0","0","0.71","0.71","0.71","0","0","0","0.69","0.69","0.69","0","0","0","0.44","0.44","0.44","0","0","0","0.47","0.47","0.47","0","0","0","0.51","0.51","0.51"
"15","1","1","1","0.72","0.72","0.72","1","1","1","0.67","0.67","0.67","1","1","1","0.66","0.66","0.66","1","1","1","0.66","0.66","0.66","1","1","1","0.64","0.64","0.64","1","1","1","0.66","0.66","0.66","1","1","1","0.43","0.43","0.43","1","1","1","0.69","0.69","0.69","1","1","1","0.7","0.7","0.7","1","1","1","0.46","0.46","0.46","1","1","1","0.43","0.43","0.43","1","1","1","0.43","0.43","0.43"
"20","2","2","2","0.58","0.58","0.58","2","2","2","0.6","0.6","0.6","2","2","2","0.6","0.6","0.6","2","2","2","0.61","0.61","0.61","2","2","2","0.62","0.62","0.62","2","2","2","0.6","0.6","0.6","2","2","2","0.42","0.42","0.42","2","2","2","0.58","0.58","0.58","2","2","2","0.62","0.62","0.62","2","2","2","0.45","0.45","0.45","2","2","2","0.46","0.46","0.46","2","2","2","0.45","0.45","0.45"
"32","3","3","3","0.71","0.71","0.71","3","3","3","0.71","0.71","0.71","3","3","3","0.82","0.82","0.82","3","3","3","0.72","0.72","0.72","3","3","3","0.66","0.66","0.66","3","3","3","0.72","0.72","0.72","3","3","3","0.49","0.49","0.49","3","3","3","0.69","0.69","0.69","3","3","3","0.65","0.65","0.65","3","3","3","0.44","0.44","0.44","3","3","3","0.45","0.45","0.45","3","3","3","0.45","0.45","0.45"
"50","4","4","4","0.74","0.74","0.74","4","4","4","0.73","0.73","0.73","4","4","4","0.76","0.76","0.76","4","4","4","0.78","0.78","0.78","4","4","4","0.75","0.75","0.75","4","4","4","0.68","0.68","0.68","4","4","4","0.45","0.45","0.45","4","4","4","0.69","0.69","0.69","4","4","4","0.67","0.67","0.67","4","4","4","0.45","0.45","0.45","4","4","4","0.45","0.45","0.45","4","4","4","0.45","0.45","0.45"
"70","5","5","5","0.75","0.75","0.75","5","5","5","0.72","0.72","0.72","5","5","5","0.71","0.71","0.71","5","5","5","0.81","0.81","0.81","5","5","5","0.8","0.8","0.8","5","5","5","0.76","0.76","0.76","5","5","5","0.44","0.44","0.44","5","5","5","0.72","0.72","0.72","5","5","5","0.7","0.7","0.7","5","5","5","0.44","0.44","0.44","5","5","5","0.4","0.4","0.4","5","5","5","0.45","0.45","0.45"
"100","6","6","6","0.8","0.8","0.8","6","6","6","0.81","0.81","0.81","6","6","6","0.77","0.77","0.77","6","6","6","0.75","0.75","0.75","6","6","6","0.73","0.73","0.73","6","6","6","0.75","0.75","0.75","6","6","6","0.6","0.6","0.6","6","6","6","0.73","0.73","0.73","6","6","6","0.77","0.77","0.77","6","6","6","0.45","0.45","0.45","6","6","6","0.54","0.54","0.54","6","6","6","0.59","0.59","0.59"
"150","7","7","7","0.75","0.75","0.75","7","7","7","0.75","0.75","0.75","7","7","7","0.77","0.77","0.77","7","7","7","0.75","0.75","0.75","7","7","7","0.79","0.79","0.79","7","7","7","0.76","0.76","0.76","7","7","7","0.56","0.56","0.56","7","7","7","0.79","0.79","0.79","7","7","7","0.8","0.8","0.8","7","7","7","0.5","0.5","0.5","7","7","7","0.44","0.44","0.44","7","7","7","0.46","0.46","0.46"
"200","8","8","8","0.74","0.74","0.74","8","8","8","0.77","0.77","0.77","8","8","8","0.71","0.71","0.71","8","8","8","0.76","0.76","0.76","8","8","8","0.78","0.78","0.78","8","8","8","0.77","0.77","0.77","8","8","8","0.52","0.52","0.52","8","8","8","0.79","0.79","0.79","8","8","8","0.8","0.8","0.8","8","8","8","0.45","0.45","0.45","8","8","8","0.45","0.45","0.45","8","8","8","0.45","0.45","0.45"
"350","9","9","9","0.72","0.72","0.72","9","9","9","0.81","0.81","0.81","9","9","9","0.77","0.77","0.77","9","9","9","0.72","0.72","0.72","9","9","9","0.83","0.83","0.83","9","9","9","0.7","0.7","0.7","9","9","9","0.83","0.83","0.83","9","9","9","0.79","0.79","0.79","9","9","9","0.77","0.77","0.77","9","9","9","0.65","0.65","0.65","9","9","9","0.7","0.7","0.7","9","9","9","0.72","0.72","0.72"
