,training_points,PVP 3 roberta neutral verbalizer seed 3 - _step,PVP 3 roberta neutral verbalizer seed 3 - _step__MIN,PVP 3 roberta neutral verbalizer seed 3 - _step__MAX,PVP 3 roberta neutral verbalizer seed 3 - test-acc-all-p,PVP 3 roberta neutral verbalizer seed 3 - test-acc-all-p__MIN,PVP 3 roberta neutral verbalizer seed 3 - test-acc-all-p__MAX,PVP 3 roberta neutral verbalizer seed 2 - _step,PVP 3 roberta neutral verbalizer seed 2 - _step__MIN,PVP 3 roberta neutral verbalizer seed 2 - _step__MAX,PVP 3 roberta neutral verbalizer seed 2 - test-acc-all-p,PVP 3 roberta neutral verbalizer seed 2 - test-acc-all-p__MIN,PVP 3 roberta neutral verbalizer seed 2 - test-acc-all-p__MAX,PVP 0 roberta neutral verbalizer seed 0 - _step,PVP 0 roberta neutral verbalizer seed 0 - _step__MIN,PVP 0 roberta neutral verbalizer seed 0 - _step__MAX,PVP 0 roberta neutral verbalizer seed 0 - test-acc-all-p,PVP 0 roberta neutral verbalizer seed 0 - test-acc-all-p__MIN,PVP 0 roberta neutral verbalizer seed 0 - test-acc-all-p__MAX,PVP 3 roberta neutral verbalizer seed 0 - _step,PVP 3 roberta neutral verbalizer seed 0 - _step__MIN,PVP 3 roberta neutral verbalizer seed 0 - _step__MAX,PVP 3 roberta neutral verbalizer seed 0 - test-acc-all-p,PVP 3 roberta neutral verbalizer seed 0 - test-acc-all-p__MIN,PVP 3 roberta neutral verbalizer seed 0 - test-acc-all-p__MAX,PVP 3 roberta neutral verbalizer seed 1 - _step,PVP 3 roberta neutral verbalizer seed 1 - _step__MIN,PVP 3 roberta neutral verbalizer seed 1 - _step__MAX,PVP 3 roberta neutral verbalizer seed 1 - test-acc-all-p,PVP 3 roberta neutral verbalizer seed 1 - test-acc-all-p__MIN,PVP 3 roberta neutral verbalizer seed 1 - test-acc-all-p__MAX,PVP 0 roberta neutral verbalizer seed 1 - _step,PVP 0 roberta neutral verbalizer seed 1 - _step__MIN,PVP 0 roberta neutral verbalizer seed 1 - _step__MAX,PVP 0 roberta neutral verbalizer seed 1 - test-acc-all-p,PVP 0 roberta neutral verbalizer seed 1 - test-acc-all-p__MIN,PVP 0 roberta neutral verbalizer seed 1 - test-acc-all-p__MAX,PVP 0 roberta neutral verbalizer seed 3 - _step,PVP 0 roberta neutral verbalizer seed 3 - _step__MIN,PVP 0 roberta neutral verbalizer seed 3 - _step__MAX,PVP 0 roberta neutral verbalizer seed 3 - test-acc-all-p,PVP 0 roberta neutral verbalizer seed 3 - test-acc-all-p__MIN,PVP 0 roberta neutral verbalizer seed 3 - test-acc-all-p__MAX,PVP 0 roberta neutral verbalizer seed 2 - _step,PVP 0 roberta neutral verbalizer seed 2 - _step__MIN,PVP 0 roberta neutral verbalizer seed 2 - _step__MAX,PVP 0 roberta neutral verbalizer seed 2 - test-acc-all-p,PVP 0 roberta neutral verbalizer seed 2 - test-acc-all-p__MIN,PVP 0 roberta neutral verbalizer seed 2 - test-acc-all-p__MAX,PVP 3 roberta seed 3 - _step,PVP 3 roberta seed 3 - _step__MIN,PVP 3 roberta seed 3 - _step__MAX,PVP 3 roberta seed 3 - test-acc-all-p,PVP 3 roberta seed 3 - test-acc-all-p__MIN,PVP 3 roberta seed 3 - test-acc-all-p__MAX,PVP 0 roberta seed 0 - _step,PVP 0 roberta seed 0 - _step__MIN,PVP 0 roberta seed 0 - _step__MAX,PVP 0 roberta seed 0 - test-acc-all-p,PVP 0 roberta seed 0 - test-acc-all-p__MIN,PVP 0 roberta seed 0 - test-acc-all-p__MAX,PVP 3 roberta seed 2 - _step,PVP 3 roberta seed 2 - _step__MIN,PVP 3 roberta seed 2 - _step__MAX,PVP 3 roberta seed 2 - test-acc-all-p,PVP 3 roberta seed 2 - test-acc-all-p__MIN,PVP 3 roberta seed 2 - test-acc-all-p__MAX,PVP 0 roberta seed 2 - _step,PVP 0 roberta seed 2 - _step__MIN,PVP 0 roberta seed 2 - _step__MAX,PVP 0 roberta seed 2 - test-acc-all-p,PVP 0 roberta seed 2 - test-acc-all-p__MIN,PVP 0 roberta seed 2 - test-acc-all-p__MAX,PVP 0 roberta seed 1 - _step,PVP 0 roberta seed 1 - _step__MIN,PVP 0 roberta seed 1 - _step__MAX,PVP 0 roberta seed 1 - test-acc-all-p,PVP 0 roberta seed 1 - test-acc-all-p__MIN,PVP 0 roberta seed 1 - test-acc-all-p__MAX,PVP 0 roberta seed 3 - _step,PVP 0 roberta seed 3 - _step__MIN,PVP 0 roberta seed 3 - _step__MAX,PVP 0 roberta seed 3 - test-acc-all-p,PVP 0 roberta seed 3 - test-acc-all-p__MIN,PVP 0 roberta seed 3 - test-acc-all-p__MAX,PVP 3 roberta seed 1 - _step,PVP 3 roberta seed 1 - _step__MIN,PVP 3 roberta seed 1 - _step__MAX,PVP 3 roberta seed 1 - test-acc-all-p,PVP 3 roberta seed 1 - test-acc-all-p__MIN,PVP 3 roberta seed 1 - test-acc-all-p__MAX,PVP 3 roberta seed 0 - _step,PVP 3 roberta seed 0 - _step__MIN,PVP 3 roberta seed 0 - _step__MAX,PVP 3 roberta seed 0 - test-acc-all-p,PVP 3 roberta seed 0 - test-acc-all-p__MIN,PVP 3 roberta seed 0 - test-acc-all-p__MAX,CLF roberta seed 3 - _step,CLF roberta seed 3 - _step__MIN,CLF roberta seed 3 - _step__MAX,CLF roberta seed 3 - test-acc-all-p,CLF roberta seed 3 - test-acc-all-p__MIN,CLF roberta seed 3 - test-acc-all-p__MAX,CLF roberta seed 2 - _step,CLF roberta seed 2 - _step__MIN,CLF roberta seed 2 - _step__MAX,CLF roberta seed 2 - test-acc-all-p,CLF roberta seed 2 - test-acc-all-p__MIN,CLF roberta seed 2 - test-acc-all-p__MAX,CLF roberta seed 1 - _step,CLF roberta seed 1 - _step__MIN,CLF roberta seed 1 - _step__MAX,CLF roberta seed 1 - test-acc-all-p,CLF roberta seed 1 - test-acc-all-p__MIN,CLF roberta seed 1 - test-acc-all-p__MAX,CLF roberta seed 0 - _step,CLF roberta seed 0 - _step__MIN,CLF roberta seed 0 - _step__MAX,CLF roberta seed 0 - test-acc-all-p,CLF roberta seed 0 - test-acc-all-p__MIN,CLF roberta seed 0 - test-acc-all-p__MAX
0,10,0,0,0,0.3530309194467046,0.3530309194467046,0.3530309194467046,0,0,0,0.3321806346623271,0.3321806346623271,0.3321806346623271,0,0,0,0.36706672091131004,0.36706672091131004,0.36706672091131004,0,0,0,0.3340113913751017,0.3340113913751017,0.3340113913751017,0,0,0,0.33350284784377543,0.33350284784377543,0.33350284784377543,0,0,0,0.3470301057770545,0.3470301057770545,0.3470301057770545,0,0,0,0.3483523189585028,0.3483523189585028,0.3483523189585028,0,0,0,0.3747965825874695,0.3747965825874695,0.3747965825874695,0.0,0.0,0.0,0.4800650935720098,0.4800650935720098,0.4800650935720098,0.0,0.0,0.0,0.4290073230268511,0.4290073230268511,0.4290073230268511,0.0,0.0,0.0,0.4904393816110659,0.4904393816110659,0.4904393816110659,0.0,0.0,0.0,0.4587062652563059,0.4587062652563059,0.4587062652563059,0.0,0.0,0.0,0.4252441008950366,0.4252441008950366,0.4252441008950366,0.0,0.0,0.0,0.4374491456468674,0.4374491456468674,0.4374491456468674,0.0,0.0,0.0,0.5037632221318145,0.5037632221318145,0.5037632221318145,0.0,0.0,0.0,0.5080349877949553,0.5080349877949553,0.5080349877949553,0,0,0,0.3469283970707893,0.3469283970707893,0.3469283970707893,0,0,0,0.35140358014646056,0.35140358014646056,0.35140358014646056,0,0,0,0.35140358014646056,0.35140358014646056,0.35140358014646056,0,0,0,0.35608218063466235,0.35608218063466235,0.35608218063466235
1,32,1,1,1,0.4265663140764849,0.4265663140764849,0.4265663140764849,1,1,1,0.4826078112286412,0.4826078112286412,0.4826078112286412,1,1,1,0.4846419853539463,0.4846419853539463,0.4846419853539463,1,1,1,0.4312449145646867,0.4312449145646867,0.4312449145646867,1,1,1,0.4482302685109845,0.4482302685109845,0.4482302685109845,1,1,1,0.4891171684296176,0.4891171684296176,0.4891171684296176,1,1,1,0.5129170056956875,0.5129170056956875,0.5129170056956875,1,1,1,0.4617575264442637,0.4617575264442637,0.4617575264442637,1.0,1.0,1.0,0.611879576891782,0.611879576891782,0.611879576891782,1.0,1.0,1.0,0.592453213995118,0.592453213995118,0.592453213995118,1.0,1.0,1.0,0.6609031733116355,0.6609031733116355,0.6609031733116355,1.0,1.0,1.0,0.5896053702196908,0.5896053702196908,0.5896053702196908,1.0,1.0,1.0,0.6101505288852725,0.6101505288852725,0.6101505288852725,1.0,1.0,1.0,0.5830960130187144,0.5830960130187144,0.5830960130187144,1.0,1.0,1.0,0.6345606183889341,0.6345606183889341,0.6345606183889341,1.0,1.0,1.0,0.628559804719284,0.628559804719284,0.628559804719284,1,1,1,0.3500813669650122,0.3500813669650122,0.3500813669650122,1,1,1,0.3686940602115541,0.3686940602115541,0.3686940602115541,1,1,1,0.3813059397884459,0.3813059397884459,0.3813059397884459,1,1,1,0.442839707078926,0.442839707078926,0.442839707078926
2,100,2,2,2,0.5371236777868186,0.5371236777868186,0.5371236777868186,2,2,2,0.5251220504475184,0.5251220504475184,0.5251220504475184,2,2,2,0.5631611065907242,0.5631611065907242,0.5631611065907242,2,2,2,0.5080349877949553,0.5080349877949553,0.5080349877949553,2,2,2,0.5137306753458096,0.5137306753458096,0.5137306753458096,2,2,2,0.5938771358828315,0.5938771358828315,0.5938771358828315,2,2,2,0.6010984540276648,0.6010984540276648,0.6010984540276648,2,2,2,0.5978437754271766,0.5978437754271766,0.5978437754271766,2.0,2.0,2.0,0.6192026037428804,0.6192026037428804,0.6192026037428804,2.0,2.0,2.0,0.6864320585842149,0.6864320585842149,0.6864320585842149,2.0,2.0,2.0,0.6552074857607811,0.6552074857607811,0.6552074857607811,2.0,2.0,2.0,0.6798209926769732,0.6798209926769732,0.6798209926769732,2.0,2.0,2.0,0.69446704637917,0.69446704637917,0.69446704637917,2.0,2.0,2.0,0.6949755899104963,0.6949755899104963,0.6949755899104963,2.0,2.0,2.0,0.6320179007323027,0.6320179007323027,0.6320179007323027,2.0,2.0,2.0,0.6544955248169243,0.6544955248169243,0.6544955248169243,2,2,2,0.4015459723352319,0.4015459723352319,0.4015459723352319,2,2,2,0.4558584214808787,0.4558584214808787,0.4558584214808787,2,2,2,0.4860659072416599,0.4860659072416599,0.4860659072416599,2,2,2,0.43032953620829945,0.43032953620829945,0.43032953620829945
3,320,3,3,3,0.7152156224572823,0.7152156224572823,0.7152156224572823,3,3,3,0.6616151342554922,0.6616151342554922,0.6616151342554922,3,3,3,0.7397274206672091,0.7397274206672091,0.7397274206672091,3,3,3,0.7131814483319772,0.7131814483319772,0.7131814483319772,3,3,3,0.6595809601301872,0.6595809601301872,0.6595809601301872,3,3,3,0.7616965012205045,0.7616965012205045,0.7616965012205045,3,3,3,0.7650528885272578,0.7650528885272578,0.7650528885272578,3,3,3,0.7723759153783564,0.7723759153783564,0.7723759153783564,3.0,3.0,3.0,0.7588486574450773,0.7588486574450773,0.7588486574450773,3.0,3.0,3.0,0.7953620829943043,0.7953620829943043,0.7953620829943043,3.0,3.0,3.0,0.7789869812855981,0.7789869812855981,0.7789869812855981,3.0,3.0,3.0,0.7893612693246542,0.7893612693246542,0.7893612693246542,3.0,3.0,3.0,0.7796989422294548,0.7796989422294548,0.7796989422294548,3.0,3.0,3.0,0.7816314076484947,0.7816314076484947,0.7816314076484947,3.0,3.0,3.0,0.7717656631407649,0.7717656631407649,0.7717656631407649,3.0,3.0,3.0,0.7799023596419854,0.7799023596419854,0.7799023596419854,3,3,3,0.3603539462978031,0.3603539462978031,0.3603539462978031,3,3,3,0.39707078925956063,0.39707078925956063,0.39707078925956063,3,3,3,0.4969487388120423,0.4969487388120423,0.4969487388120423,3,3,3,0.4967453213995118,0.4967453213995118,0.4967453213995118
4,1000,4,4,4,0.8108218063466233,0.8108218063466233,0.8108218063466233,4,4,4,0.8088893409275834,0.8088893409275834,0.8088893409275834,4,4,4,0.8169243287225386,0.8169243287225386,0.8169243287225386,4,4,4,0.8042107404393816,0.8042107404393816,0.8042107404393816,4,4,4,0.8065500406834825,0.8065500406834825,0.8065500406834825,4,4,4,0.8187550854353133,0.8187550854353133,0.8187550854353133,4,4,4,0.8106183889340928,0.8106183889340928,0.8106183889340928,4,4,4,0.8193653376729048,0.8193653376729048,0.8193653376729048,4.0,4.0,4.0,0.8191619202603743,0.8191619202603743,0.8191619202603743,4.0,4.0,4.0,0.8161106590724166,0.8161106590724166,0.8161106590724166,4.0,4.0,4.0,0.8140764849471115,0.8140764849471115,0.8140764849471115,4.0,4.0,4.0,0.8297396257119609,0.8297396257119609,0.8297396257119609,4.0,4.0,4.0,0.8236371033360456,0.8236371033360456,0.8236371033360456,4.0,4.0,4.0,0.8206875508543532,0.8206875508543532,0.8206875508543532,4.0,4.0,4.0,0.8203824247355573,0.8203824247355573,0.8203824247355573,4.0,4.0,4.0,0.8159072416598859,0.8159072416598859,0.8159072416598859,4,4,4,0.6678193653376729,0.6678193653376729,0.6678193653376729,4,4,4,0.7259967453213995,0.7259967453213995,0.7259967453213995,4,4,4,0.5839096826688365,0.5839096826688365,0.5839096826688365,4,4,4,0.3967656631407648,0.3967656631407648,0.3967656631407648
5,3200,5,5,5,0.8506916192026037,0.8506916192026037,0.8506916192026037,5,5,5,0.8430634662327096,0.8430634662327096,0.8430634662327096,5,5,5,0.858319772172498,0.858319772172498,0.858319772172498,5,5,5,0.8529292107404394,0.8529292107404394,0.8529292107404394,5,5,5,0.854759967453214,0.854759967453214,0.854759967453214,5,5,5,0.8565907241659886,0.8565907241659886,0.8565907241659886,5,5,5,0.8560821806346623,0.8560821806346623,0.8560821806346623,5,5,5,0.8543531326281529,0.8543531326281529,0.8543531326281529,5.0,5.0,5.0,0.8567941415785191,0.8567941415785191,0.8567941415785191,5.0,5.0,5.0,0.8528275020341741,0.8528275020341741,0.8528275020341741,5.0,5.0,5.0,0.8599471114727422,0.8599471114727422,0.8599471114727422,5.0,5.0,5.0,0.8552685109845403,0.8552685109845403,0.8552685109845403,5.0,5.0,5.0,0.8576078112286412,0.8576078112286412,0.8576078112286412,5.0,5.0,5.0,0.8528275020341741,0.8528275020341741,0.8528275020341741,5.0,5.0,5.0,0.8463181448331977,0.8463181448331977,0.8463181448331977,5.0,5.0,5.0,0.8518104149715215,0.8518104149715215,0.8518104149715215,5,5,5,0.83533360455655,0.83533360455655,0.83533360455655,5,5,5,0.8478437754271766,0.8478437754271766,0.8478437754271766,5,5,5,0.8127542717656632,0.8127542717656632,0.8127542717656632,5,5,5,0.8351301871440195,0.8351301871440195,0.8351301871440195
6,10000,6,6,6,0.8719487388120423,0.8719487388120423,0.8719487388120423,6,6,6,0.8779495524816925,0.8779495524816925,0.8779495524816925,6,6,6,0.875,0.875,0.875,6,6,6,0.8747965825874695,0.8747965825874695,0.8747965825874695,6,6,6,0.8786615134255492,0.8786615134255492,0.8786615134255492,6,6,6,0.874593165174939,0.874593165174939,0.874593165174939,6,6,6,0.8709316517493898,0.8709316517493898,0.8709316517493898,6,6,6,0.8730675345809601,0.8730675345809601,0.8730675345809601,6.0,6.0,6.0,0.8738812042310822,0.8738812042310822,0.8738812042310822,6.0,6.0,6.0,0.8799837266069975,0.8799837266069975,0.8799837266069975,6.0,6.0,6.0,0.8751017087062652,0.8751017087062652,0.8751017087062652,6.0,6.0,6.0,0.8728641171684296,0.8728641171684296,0.8728641171684296,6.0,6.0,6.0,0.8779495524816925,0.8779495524816925,0.8779495524816925,6.0,6.0,6.0,0.875,0.875,0.875,6.0,6.0,6.0,0.8762205044751831,0.8762205044751831,0.8762205044751831,6.0,6.0,6.0,0.8755085435313262,0.8755085435313262,0.8755085435313262,6,6,6,0.8651342554922702,0.8651342554922702,0.8651342554922702,6,6,6,0.8676769731489016,0.8676769731489016,0.8676769731489016,6,6,6,0.8556753458096013,0.8556753458096013,0.8556753458096013,6,6,6,0.8640154597233524,0.8640154597233524,0.8640154597233524
7,32000,7,7,7,0.8838486574450773,0.8838486574450773,0.8838486574450773,7,7,7,0.883340113913751,0.883340113913751,0.883340113913751,7,7,7,0.8849674532139952,0.8849674532139952,0.8849674532139952,7,7,7,0.8813059397884458,0.8813059397884458,0.8813059397884458,7,7,7,0.8823230268510984,0.8823230268510984,0.8823230268510984,7,7,7,0.8835435313262815,0.8835435313262815,0.8835435313262815,7,7,7,0.8827298616761595,0.8827298616761595,0.8827298616761595,7,7,7,0.8853742880390562,0.8853742880390562,0.8853742880390562,7.0,7.0,7.0,0.8849674532139952,0.8849674532139952,0.8849674532139952,7.0,7.0,7.0,0.8823230268510984,0.8823230268510984,0.8823230268510984,7.0,7.0,7.0,0.8843572009764036,0.8843572009764036,0.8843572009764036,7.0,7.0,7.0,0.8819161920260374,0.8819161920260374,0.8819161920260374,7.0,7.0,7.0,0.8824247355573637,0.8824247355573637,0.8824247355573637,7.0,7.0,7.0,0.8836452400325467,0.8836452400325467,0.8836452400325467,7.0,7.0,7.0,0.8834418226200162,0.8834418226200162,0.8834418226200162,7.0,7.0,7.0,0.8812042310821806,0.8812042310821806,0.8812042310821806,7,7,7,0.8763222131814483,0.8719487388120423,0.8806956875508544,7,7,7,0.8796277461350692,0.8793734743694059,0.8798820179007323,7,7,7,0.8747457282343369,0.8721521562245729,0.8773393002441009,7,7,7,0.8774410089503661,0.8759153783563873,0.878966639544345
8,100000,0,0,0,0.8961554109031733,0.8961554109031733,0.8961554109031733,0,0,0,0.8924938974776241,0.8924938974776241,0.8924938974776241,0,0,0,0.8958502847843776,0.8958502847843776,0.8958502847843776,0,0,0,0.8943246541903987,0.8943246541903987,0.8943246541903987,0,0,0,0.8960537021969079,0.8960537021969079,0.8960537021969079,0,0,0,0.894833197721725,0.894833197721725,0.894833197721725,0,0,0,0.8936126932465419,0.8936126932465419,0.8936126932465419,0,0,0,0.894426362896664,0.894426362896664,0.894426362896664,0.0,0.0,0.0,0.8958502847843776,0.8958502847843776,0.8958502847843776,0.0,0.0,0.0,0.8942229454841334,0.8942229454841334,0.8942229454841334,0.0,0.0,0.0,0.8957485760781123,0.8957485760781123,0.8957485760781123,0.0,0.0,0.0,0.8947314890154597,0.8947314890154597,0.8947314890154597,0.0,0.0,0.0,0.894426362896664,0.894426362896664,0.894426362896664,0.0,0.0,0.0,0.8923921887713588,0.8923921887713588,0.8923921887713588,0.0,0.0,0.0,0.8958502847843776,0.8958502847843776,0.8958502847843776,0.0,0.0,0.0,0.8931041497152156,0.8931041497152156,0.8931041497152156,0,0,0,0.8903580146460537,0.8903580146460537,0.8903580146460537,0,0,0,0.8882221318144833,0.8882221318144833,0.8882221318144833,0,0,0,0.8904597233523189,0.8904597233523189,0.8904597233523189,0,0,0,0.8889340927583401,0.8889340927583401,0.8889340927583401
9,392702,1,1,1,0.9009357200976404,0.9009357200976404,0.9009357200976404,1,1,1,0.9024613506916191,0.9024613506916191,0.9024613506916191,1,1,1,0.9037835638730676,0.9037835638730676,0.9037835638730676,1,1,1,0.9038852725793328,0.9038852725793328,0.9038852725793328,1,1,1,0.9021562245728234,0.9021562245728234,0.9021562245728234,1,1,1,0.903580146460537,0.903580146460537,0.903580146460537,1,1,1,0.9013425549227014,0.9013425549227014,0.9013425549227014,1,1,1,0.9006305939788446,0.9006305939788446,0.9006305939788446,1.0,1.0,1.0,0.9038852725793328,0.9038852725793328,0.9038852725793328,1.0,1.0,1.0,0.9038852725793328,0.9038852725793328,0.9038852725793328,1.0,1.0,1.0,0.904393816110659,0.904393816110659,0.904393816110659,1.0,1.0,1.0,0.9054109031733116,0.9054109031733116,0.9054109031733116,1.0,1.0,1.0,0.9046989422294548,0.9046989422294548,0.9046989422294548,1.0,1.0,1.0,0.9026647681041498,0.9026647681041498,0.9026647681041498,1.0,1.0,1.0,0.9045972335231895,0.9045972335231895,0.9045972335231895,1.0,1.0,1.0,0.9036818551668024,0.9036818551668024,0.9036818551668024,1,1,1,0.9001220504475184,0.9001220504475184,0.9001220504475184,1,1,1,0.9049023596419854,0.9049023596419854,0.9049023596419854,1,1,1,0.901240846216436,0.901240846216436,0.901240846216436,1,1,1,0.9025630593978844,0.9025630593978844,0.9025630593978844
