"training_points","PVP 2 roberta seed 3 - _step","PVP 2 roberta seed 3 - _step__MIN","PVP 2 roberta seed 3 - _step__MAX","PVP 2 roberta seed 3 - test-acc-all-p","PVP 2 roberta seed 3 - test-acc-all-p__MIN","PVP 2 roberta seed 3 - test-acc-all-p__MAX","PVP 2 roberta seed 1 - _step","PVP 2 roberta seed 1 - _step__MIN","PVP 2 roberta seed 1 - _step__MAX","PVP 2 roberta seed 1 - test-acc-all-p","PVP 2 roberta seed 1 - test-acc-all-p__MIN","PVP 2 roberta seed 1 - test-acc-all-p__MAX","PVP 2 roberta seed 2 - _step","PVP 2 roberta seed 2 - _step__MIN","PVP 2 roberta seed 2 - _step__MAX","PVP 2 roberta seed 2 - test-acc-all-p","PVP 2 roberta seed 2 - test-acc-all-p__MIN","PVP 2 roberta seed 2 - test-acc-all-p__MAX","PVP 2 roberta seed 0 - _step","PVP 2 roberta seed 0 - _step__MIN","PVP 2 roberta seed 0 - _step__MAX","PVP 2 roberta seed 0 - test-acc-all-p","PVP 2 roberta seed 0 - test-acc-all-p__MIN","PVP 2 roberta seed 0 - test-acc-all-p__MAX","CLF roberta seed 3 - _step","CLF roberta seed 3 - _step__MIN","CLF roberta seed 3 - _step__MAX","CLF roberta seed 3 - test-acc-all-p","CLF roberta seed 3 - test-acc-all-p__MIN","CLF roberta seed 3 - test-acc-all-p__MAX","CLF roberta seed 2 - _step","CLF roberta seed 2 - _step__MIN","CLF roberta seed 2 - _step__MAX","CLF roberta seed 2 - test-acc-all-p","CLF roberta seed 2 - test-acc-all-p__MIN","CLF roberta seed 2 - test-acc-all-p__MAX","CLF roberta seed 1 - _step","CLF roberta seed 1 - _step__MIN","CLF roberta seed 1 - _step__MAX","CLF roberta seed 1 - test-acc-all-p","CLF roberta seed 1 - test-acc-all-p__MIN","CLF roberta seed 1 - test-acc-all-p__MAX","CLF roberta seed 0 - _step","CLF roberta seed 0 - _step__MIN","CLF roberta seed 0 - _step__MAX","CLF roberta seed 0 - test-acc-all-p","CLF roberta seed 0 - test-acc-all-p__MIN","CLF roberta seed 0 - test-acc-all-p__MAX","PVP 1 roberta seed 3 - _step","PVP 1 roberta seed 3 - _step__MIN","PVP 1 roberta seed 3 - _step__MAX","PVP 1 roberta seed 3 - test-acc-all-p","PVP 1 roberta seed 3 - test-acc-all-p__MIN","PVP 1 roberta seed 3 - test-acc-all-p__MAX","PVP 1 roberta seed 2 - _step","PVP 1 roberta seed 2 - _step__MIN","PVP 1 roberta seed 2 - _step__MAX","PVP 1 roberta seed 2 - test-acc-all-p","PVP 1 roberta seed 2 - test-acc-all-p__MIN","PVP 1 roberta seed 2 - test-acc-all-p__MAX","PVP 1 roberta seed 1 - _step","PVP 1 roberta seed 1 - _step__MIN","PVP 1 roberta seed 1 - _step__MAX","PVP 1 roberta seed 1 - test-acc-all-p","PVP 1 roberta seed 1 - test-acc-all-p__MIN","PVP 1 roberta seed 1 - test-acc-all-p__MAX","PVP 1 roberta seed 0 - _step","PVP 1 roberta seed 0 - _step__MIN","PVP 1 roberta seed 0 - _step__MAX","PVP 1 roberta seed 0 - test-acc-all-p","PVP 1 roberta seed 0 - test-acc-all-p__MIN","PVP 1 roberta seed 0 - test-acc-all-p__MAX","PVP 0 roberta seed 3 - _step","PVP 0 roberta seed 3 - _step__MIN","PVP 0 roberta seed 3 - _step__MAX","PVP 0 roberta seed 3 - test-acc-all-p","PVP 0 roberta seed 3 - test-acc-all-p__MIN","PVP 0 roberta seed 3 - test-acc-all-p__MAX","PVP 0 roberta seed 2 - _step","PVP 0 roberta seed 2 - _step__MIN","PVP 0 roberta seed 2 - _step__MAX","PVP 0 roberta seed 2 - test-acc-all-p","PVP 0 roberta seed 2 - test-acc-all-p__MIN","PVP 0 roberta seed 2 - test-acc-all-p__MAX","PVP 0 roberta seed 1 - _step","PVP 0 roberta seed 1 - _step__MIN","PVP 0 roberta seed 1 - _step__MAX","PVP 0 roberta seed 1 - test-acc-all-p","PVP 0 roberta seed 1 - test-acc-all-p__MIN","PVP 0 roberta seed 1 - test-acc-all-p__MAX","PVP 0 roberta seed 0 - _step","PVP 0 roberta seed 0 - _step__MIN","PVP 0 roberta seed 0 - _step__MAX","PVP 0 roberta seed 0 - test-acc-all-p","PVP 0 roberta seed 0 - test-acc-all-p__MIN","PVP 0 roberta seed 0 - test-acc-all-p__MAX"
"10","0","0","0","0.5673076923076923","0.5673076923076923","0.5673076923076923","0","0","0","0.5576923076923077","0.5576923076923077","0.5576923076923077","0","0","0","0.5961538461538461","0.5961538461538461","0.5961538461538461","0","0","0","0.5961538461538461","0.5961538461538461","0.5961538461538461","0","0","0","0.46153846153846156","0.46153846153846156","0.46153846153846156","0","0","0","0.41346153846153844","0.41346153846153844","0.41346153846153844","0","0","0","0.3942307692307692","0.3942307692307692","0.3942307692307692","0","0","0","0.41346153846153844","0.41346153846153844","0.41346153846153844","0","0","0","0.5961538461538461","0.5961538461538461","0.5961538461538461","0","0","0","0.5961538461538461","0.5961538461538461","0.5961538461538461","0","0","0","0.6442307692307693","0.6442307692307693","0.6442307692307693","0","0","0","0.6153846153846154","0.6153846153846154","0.6153846153846154","0","0","0","0.5769230769230769","0.5769230769230769","0.5769230769230769","0","0","0","0.5769230769230769","0.5769230769230769","0.5769230769230769","0","0","0","0.5769230769230769","0.5769230769230769","0.5769230769230769","0","0","0","0.5961538461538461","0.5961538461538461","0.5961538461538461"
"15","1","1","1","0.6153846153846154","0.6153846153846154","0.6153846153846154","1","1","1","0.6923076923076923","0.6923076923076923","0.6923076923076923","1","1","1","0.6538461538461539","0.6538461538461539","0.6538461538461539","1","1","1","0.6538461538461539","0.6538461538461539","0.6538461538461539","1","1","1","0.4519230769230769","0.4519230769230769","0.4519230769230769","1","1","1","0.4519230769230769","0.4519230769230769","0.4519230769230769","1","1","1","0.3942307692307692","0.3942307692307692","0.3942307692307692","1","1","1","0.4423076923076923","0.4423076923076923","0.4423076923076923","1","1","1","0.6634615384615384","0.6634615384615384","0.6634615384615384","1","1","1","0.6442307692307693","0.6442307692307693","0.6442307692307693","1","1","1","0.625","0.625","0.625","1","1","1","0.5961538461538461","0.5961538461538461","0.5961538461538461","1","1","1","0.5673076923076923","0.5673076923076923","0.5673076923076923","1","1","1","0.6346153846153846","0.6346153846153846","0.6346153846153846","1","1","1","0.6346153846153846","0.6346153846153846","0.6346153846153846","1","1","1","0.6346153846153846","0.6346153846153846","0.6346153846153846"
"20","2","2","2","0.6442307692307693","0.6442307692307693","0.6442307692307693","2","2","2","0.6346153846153846","0.6346153846153846","0.6346153846153846","2","2","2","0.5769230769230769","0.5769230769230769","0.5769230769230769","2","2","2","0.5673076923076923","0.5673076923076923","0.5673076923076923","2","2","2","0.3942307692307692","0.3942307692307692","0.3942307692307692","2","2","2","0.5192307692307693","0.5192307692307693","0.5192307692307693","2","2","2","0.47115384615384615","0.47115384615384615","0.47115384615384615","2","2","2","0.5480769230769231","0.5480769230769231","0.5480769230769231","2","2","2","0.6346153846153846","0.6346153846153846","0.6346153846153846","2","2","2","0.6538461538461539","0.6538461538461539","0.6538461538461539","2","2","2","0.6346153846153846","0.6346153846153846","0.6346153846153846","2","2","2","0.6826923076923077","0.6826923076923077","0.6826923076923077","2","2","2","0.6538461538461539","0.6538461538461539","0.6538461538461539","2","2","2","0.6442307692307693","0.6442307692307693","0.6442307692307693","2","2","2","0.6153846153846154","0.6153846153846154","0.6153846153846154","2","2","2","0.6730769230769231","0.6730769230769231","0.6730769230769231"
"32","3","3","3","0.6442307692307693","0.6442307692307693","0.6442307692307693","3","3","3","0.6153846153846154","0.6153846153846154","0.6153846153846154","3","3","3","0.6057692307692307","0.6057692307692307","0.6057692307692307","3","3","3","0.6634615384615384","0.6634615384615384","0.6634615384615384","3","3","3","0.3942307692307692","0.3942307692307692","0.3942307692307692","3","3","3","0.36538461538461536","0.36538461538461536","0.36538461538461536","3","3","3","0.375","0.375","0.375","3","3","3","0.46153846153846156","0.46153846153846156","0.46153846153846156","3","3","3","0.6442307692307693","0.6442307692307693","0.6442307692307693","3","3","3","0.6730769230769231","0.6730769230769231","0.6730769230769231","3","3","3","0.7019230769230769","0.7019230769230769","0.7019230769230769","3","3","3","0.7019230769230769","0.7019230769230769","0.7019230769230769","3","3","3","0.7115384615384616","0.7115384615384616","0.7115384615384616","3","3","3","0.5961538461538461","0.5961538461538461","0.5961538461538461","3","3","3","0.625","0.625","0.625","3","3","3","0.5769230769230769","0.5769230769230769","0.5769230769230769"
"50","4","4","4","0.6153846153846154","0.6153846153846154","0.6153846153846154","4","4","4","0.6538461538461539","0.6538461538461539","0.6538461538461539","4","4","4","0.5673076923076923","0.5673076923076923","0.5673076923076923","4","4","4","0.6538461538461539","0.6538461538461539","0.6538461538461539","4","4","4","0.40384615384615385","0.40384615384615385","0.40384615384615385","4","4","4","0.36538461538461536","0.36538461538461536","0.36538461538461536","4","4","4","0.3942307692307692","0.3942307692307692","0.3942307692307692","4","4","4","0.38461538461538464","0.38461538461538464","0.38461538461538464","4","4","4","0.6442307692307693","0.6442307692307693","0.6442307692307693","4","4","4","0.7115384615384616","0.7115384615384616","0.7115384615384616","4","4","4","0.6826923076923077","0.6826923076923077","0.6826923076923077","4","4","4","0.75","0.75","0.75","4","4","4","0.6153846153846154","0.6153846153846154","0.6153846153846154","4","4","4","0.6923076923076923","0.6923076923076923","0.6923076923076923","4","4","4","0.6153846153846154","0.6153846153846154","0.6153846153846154","4","4","4","0.7019230769230769","0.7019230769230769","0.7019230769230769"
"70","5","5","5","0.6826923076923077","0.6826923076923077","0.6826923076923077","5","5","5","0.6730769230769231","0.6730769230769231","0.6730769230769231","5","5","5","0.6923076923076923","0.6923076923076923","0.6923076923076923","5","5","5","0.6442307692307693","0.6442307692307693","0.6442307692307693","5","5","5","0.36538461538461536","0.36538461538461536","0.36538461538461536","5","5","5","0.36538461538461536","0.36538461538461536","0.36538461538461536","5","5","5","0.3942307692307692","0.3942307692307692","0.3942307692307692","5","5","5","0.38461538461538464","0.38461538461538464","0.38461538461538464","5","5","5","0.7692307692307693","0.7692307692307693","0.7692307692307693","5","5","5","0.6826923076923077","0.6826923076923077","0.6826923076923077","5","5","5","0.6923076923076923","0.6923076923076923","0.6923076923076923","5","5","5","0.7307692307692307","0.7307692307692307","0.7307692307692307","5","5","5","0.6442307692307693","0.6442307692307693","0.6442307692307693","5","5","5","0.6442307692307693","0.6442307692307693","0.6442307692307693","5","5","5","0.625","0.625","0.625","5","5","5","0.5961538461538461","0.5961538461538461","0.5961538461538461"
"100","6","6","6","0.7307692307692307","0.7307692307692307","0.7307692307692307","6","6","6","0.6538461538461539","0.6538461538461539","0.6538461538461539","6","6","6","0.6730769230769231","0.6730769230769231","0.6730769230769231","6","6","6","0.7019230769230769","0.7019230769230769","0.7019230769230769","6","6","6","0.375","0.375","0.375","6","6","6","0.36538461538461536","0.36538461538461536","0.36538461538461536","6","6","6","0.3942307692307692","0.3942307692307692","0.3942307692307692","6","6","6","0.3557692307692308","0.3557692307692308","0.3557692307692308","6","6","6","0.7980769230769231","0.7980769230769231","0.7980769230769231","6","6","6","0.7596153846153846","0.7596153846153846","0.7596153846153846","6","6","6","0.7980769230769231","0.7980769230769231","0.7980769230769231","6","6","6","0.6442307692307693","0.6442307692307693","0.6442307692307693","6","6","6","0.7019230769230769","0.7019230769230769","0.7019230769230769","6","6","6","0.6826923076923077","0.6826923076923077","0.6826923076923077","6","6","6","0.7692307692307693","0.7692307692307693","0.7692307692307693","6","6","6","0.7403846153846154","0.7403846153846154","0.7403846153846154"
"150","7","7","7","0.7211538461538461","0.7211538461538461","0.7211538461538461","7","7","7","0.6538461538461539","0.6538461538461539","0.6538461538461539","7","7","7","0.7019230769230769","0.7019230769230769","0.7019230769230769","7","7","7","0.7403846153846154","0.7403846153846154","0.7403846153846154","7","7","7","0.36538461538461536","0.36538461538461536","0.36538461538461536","7","7","7","0.36538461538461536","0.36538461538461536","0.36538461538461536","7","7","7","0.3942307692307692","0.3942307692307692","0.3942307692307692","7","7","7","0.36538461538461536","0.36538461538461536","0.36538461538461536","7","7","7","0.8173076923076923","0.8173076923076923","0.8173076923076923","7","7","7","0.75","0.75","0.75","7","7","7","0.8365384615384616","0.8365384615384616","0.8365384615384616","7","7","7","0.7884615384615384","0.7884615384615384","0.7884615384615384","7","7","7","0.625","0.625","0.625","7","7","7","0.7596153846153846","0.7596153846153846","0.7596153846153846","7","7","7","0.6634615384615384","0.6634615384615384","0.6634615384615384","7","7","7","0.75","0.75","0.75"
"200","8","8","8","0.6826923076923077","0.6826923076923077","0.6826923076923077","8","8","8","0.75","0.75","0.75","8","8","8","0.5865384615384616","0.5865384615384616","0.5865384615384616","8","8","8","0.7692307692307693","0.7692307692307693","0.7692307692307693","8","8","8","0.41346153846153844","0.41346153846153844","0.41346153846153844","8","8","8","0.40384615384615385","0.40384615384615385","0.40384615384615385","8","8","8","0.36538461538461536","0.36538461538461536","0.36538461538461536","8","8","8","0.36538461538461536","0.36538461538461536","0.36538461538461536","8","8","8","0.6923076923076923","0.6923076923076923","0.6923076923076923","8","8","8","0.8173076923076923","0.8173076923076923","0.8173076923076923","8","8","8","0.7980769230769231","0.7980769230769231","0.7980769230769231","8","8","8","0.6826923076923077","0.6826923076923077","0.6826923076923077","8","8","8","0.8269230769230769","0.8269230769230769","0.8269230769230769","8","8","8","0.7884615384615384","0.7884615384615384","0.7884615384615384","8","8","8","0.6826923076923077","0.6826923076923077","0.6826923076923077","8","8","8","0.6730769230769231","0.6730769230769231","0.6730769230769231"
"320","9","9","9","0.7884615384615384","0.7884615384615384","0.7884615384615384","9","9","9","0.7307692307692307","0.7307692307692307","0.7307692307692307","9","9","9","0.8076923076923077","0.8076923076923077","0.8076923076923077","9","9","9","0.8269230769230769","0.8269230769230769","0.8269230769230769","9","9","9","0.6346153846153846","0.6346153846153846","0.6346153846153846","9","9","9","0.36538461538461536","0.36538461538461536","0.36538461538461536","9","9","9","0.6346153846153846","0.6346153846153846","0.6346153846153846","9","9","9","0.36538461538461536","0.36538461538461536","0.36538461538461536","9","9","9","0.8461538461538461","0.8461538461538461","0.8461538461538461","9","9","9","0.7884615384615384","0.7884615384615384","0.7884615384615384","9","9","9","0.7115384615384616","0.7115384615384616","0.7115384615384616","9","9","9","0.6826923076923077","0.6826923076923077","0.6826923076923077","9","9","9","0.6538461538461539","0.6538461538461539","0.6538461538461539","9","9","9","0.7980769230769231","0.7980769230769231","0.7980769230769231","9","9","9","0.7596153846153846","0.7596153846153846","0.7596153846153846","9","9","9","0.7307692307692307","0.7307692307692307","0.7307692307692307"
