task,num_shots,num_prompts,model1,model2,pearsonr,spearmanr,kendalltau,hellinger
rte,100,11,bert-base-cased,bert-base-uncased,0.38982872253951073,0.3127853881278539,0.2777777777777778,0.039917350396265
rte,100,11,bert-base-cased,albert-base-v2,-0.11860837239177648,-0.0684931506849315,-0.018518518518518517,0.08733322923416666
rte,100,11,bert-base-cased,albert-large-v2,0.7083634248474233,0.7922374429223744,0.611111111111111,0.11207323017353484
rte,100,11,bert-base-cased,roberta-base,0.7606537509949852,0.6621004566210046,0.49999999999999994,0.10627821226533535
rte,100,11,bert-base-cased,roberta-large,-0.250537722753749,-0.2687934080711411,-0.18349396085439343,0.2778673710862193
rte,100,11,bert-base-cased,deberta-v3-base,0.39683615056784816,0.05922566618516668,0.0,0.18672382507259405
rte,100,11,bert-base-cased,deberta-v3-large,0.4790869105485163,0.4100238428203847,0.2935903373670295,0.2000783566513311
rte,100,11,bert-base-cased,xlnet-base-cased,0.5518056243060683,0.29157251045005134,0.18349396085439343,0.0841750265145184
rte,100,11,bert-base-cased,xlnet-large-cased,-0.2087137472864368,-0.15034207570080774,-0.11009637651263605,0.2268272987958272
rte,100,11,bert-base-uncased,bert-base-cased,0.38982872253951073,0.3127853881278539,0.2777777777777778,0.039917350396265
rte,100,11,bert-base-uncased,albert-base-v2,0.13725921743773,-0.13470319634703198,-0.05555555555555555,0.1086360985305189
rte,100,11,bert-base-uncased,albert-large-v2,0.22989166929807264,0.07305936073059362,0.018518518518518517,0.1409343503710708
rte,100,11,bert-base-uncased,roberta-base,0.36426594839885074,0.4657534246575343,0.31481481481481477,0.13398413344233692
rte,100,11,bert-base-uncased,roberta-large,0.402442002924544,0.03189074333047437,0.0,0.29885655737021805
rte,100,11,bert-base-uncased,deberta-v3-base,0.6307748345395225,0.4601378680539873,0.3302891295379082,0.2091568508962447
rte,100,11,bert-base-uncased,deberta-v3-large,0.6770986832615002,0.5694775594727565,0.40368671387966554,0.22105252887840043
rte,100,11,bert-base-uncased,xlnet-base-cased,0.49830869758294144,0.4601378680539873,0.3302891295379082,0.10865867101673089
rte,100,11,bert-base-uncased,xlnet-large-cased,0.21960704519515545,0.13667461427346156,0.07339758434175737,0.24935107648015353
rte,100,11,albert-base-v2,bert-base-cased,-0.11860837239177648,-0.0684931506849315,-0.018518518518518517,0.08733322923416666
rte,100,11,albert-base-v2,bert-base-uncased,0.13725921743773,-0.13470319634703198,-0.05555555555555555,0.1086360985305189
rte,100,11,albert-base-v2,albert-large-v2,-0.1241602676667592,-0.009132420091324202,0.018518518518518517,0.06535197189516195
rte,100,11,albert-base-v2,roberta-base,-0.007020060572842907,-0.10958904109589043,-0.09259259259259259,0.05277882836230968
rte,100,11,albert-base-v2,roberta-large,0.493358728665218,0.37813309948991036,0.2935903373670295,0.19742584019468448
rte,100,11,albert-base-v2,deberta-v3-base,0.05965734002182588,0.027334922854692318,0.0,0.11685129101382866
rte,100,11,albert-base-v2,deberta-v3-large,0.2503566571921284,0.2779050490227052,0.2201927530252721,0.13546339439267358
rte,100,11,albert-base-v2,xlnet-base-cased,-0.4523363127422816,-0.4601378680539873,-0.2935903373670295,0.039295702685805664
rte,100,11,albert-base-v2,xlnet-large-cased,0.7056037608008381,0.5968124823274489,0.4770842982214229,0.14537308746068517
rte,100,11,albert-large-v2,bert-base-cased,0.7083634248474233,0.7922374429223744,0.611111111111111,0.11207323017353484
rte,100,11,albert-large-v2,bert-base-uncased,0.22989166929807264,0.07305936073059362,0.018518518518518517,0.1409343503710708
rte,100,11,albert-large-v2,albert-base-v2,-0.1241602676667592,-0.009132420091324202,0.018518518518518517,0.06535197189516195
rte,100,11,albert-large-v2,roberta-base,0.5599097840528442,0.44292237442922383,0.2777777777777778,0.04403416468324607
rte,100,11,albert-large-v2,roberta-large,0.006351926288669041,-0.10933969141876927,-0.11009637651263605,0.17986879356861604
rte,100,11,albert-large-v2,deberta-v3-base,0.03662003800723286,-0.23234684426488467,-0.18349396085439343,0.10366600265279355
rte,100,11,albert-large-v2,deberta-v3-large,0.11143146187385297,0.10022805046720515,0.07339758434175737,0.12365899632612862
rte,100,11,albert-large-v2,xlnet-base-cased,0.36589864718609305,0.2870166899742693,0.2201927530252721,0.05379767438492128
rte,100,11,albert-large-v2,xlnet-large-cased,-0.3346923814473496,-0.39180056091725646,-0.3302891295379082,0.13642818133102422
rte,100,11,roberta-base,bert-base-cased,0.7606537509949852,0.6621004566210046,0.49999999999999994,0.10627821226533535
rte,100,11,roberta-base,bert-base-uncased,0.36426594839885074,0.4657534246575343,0.31481481481481477,0.13398413344233692
rte,100,11,roberta-base,albert-base-v2,-0.007020060572842907,-0.10958904109589043,-0.09259259259259259,0.05277882836230968
rte,100,11,roberta-base,albert-large-v2,0.5599097840528442,0.44292237442922383,0.2777777777777778,0.04403416468324607
rte,100,11,roberta-base,roberta-large,0.12353143688903398,0.06833730713673078,0.03669879217087869,0.1780174841723721
rte,100,11,roberta-base,deberta-v3-base,0.5655192003898566,0.5558100980454104,0.36698792170878686,0.08908514196907676
rte,100,11,roberta-base,deberta-v3-large,0.7170952137037369,0.7107079942220003,0.5504818825631803,0.103686379602424
rte,100,11,roberta-base,xlnet-base-cased,0.43193446072170005,0.3690214585383462,0.2201927530252721,0.04230585270875161
rte,100,11,roberta-base,xlnet-large-cased,0.23937944099766661,0.2870166899742693,0.2201927530252721,0.12701437005606905
rte,100,11,roberta-large,bert-base-cased,-0.250537722753749,-0.2687934080711411,-0.18349396085439343,0.2778673710862193
rte,100,11,roberta-large,bert-base-uncased,0.402442002924544,0.03189074333047437,0.0,0.29885655737021805
rte,100,11,roberta-large,albert-base-v2,0.493358728665218,0.3781330994899103,0.2935903373670295,0.19742584019468448
rte,100,11,roberta-large,albert-large-v2,0.006351926288669041,-0.10933969141876927,-0.11009637651263605,0.17986879356861604
rte,100,11,roberta-large,roberta-base,0.12353143688903398,0.06833730713673078,0.03669879217087869,0.1780174841723721
rte,100,11,roberta-large,deberta-v3-base,0.04117571725533045,-0.11818181818181818,-0.1272727272727273,0.11585449653983904
rte,100,11,roberta-large,deberta-v3-large,0.3114299719494619,0.02727272727272728,0.018181818181818184,0.1207807030583375
rte,100,11,roberta-large,xlnet-base-cased,-0.15959892403321796,-0.10000000000000002,-0.05454545454545454,0.19870059042455585
rte,100,11,roberta-large,xlnet-large-cased,0.6069656560757597,0.5181818181818182,0.41818181818181815,0.06523219882508252
rte,100,11,deberta-v3-base,bert-base-cased,0.39683615056784816,0.05922566618516668,0.0,0.18672382507259405
rte,100,11,deberta-v3-base,bert-base-uncased,0.6307748345395225,0.4601378680539873,0.3302891295379082,0.2091568508962447
rte,100,11,deberta-v3-base,albert-base-v2,0.05965734002182588,0.027334922854692318,0.0,0.11685129101382866
rte,100,11,deberta-v3-base,albert-large-v2,0.03662003800723286,-0.2323468442648847,-0.18349396085439343,0.10366600265279355
rte,100,11,deberta-v3-base,roberta-base,0.5655192003898566,0.5558100980454104,0.36698792170878686,0.08908514196907676
rte,100,11,deberta-v3-base,roberta-large,0.04117571725533045,-0.11818181818181818,-0.1272727272727273,0.11585449653983904
rte,100,11,deberta-v3-base,deberta-v3-large,0.6900358043401241,0.6636363636363638,0.4909090909090909,0.06323802243118912
rte,100,11,deberta-v3-base,xlnet-base-cased,0.3754150071108018,0.24545454545454545,0.2,0.1111150267317497
rte,100,11,deberta-v3-base,xlnet-large-cased,0.3267965359700434,0.5181818181818182,0.3090909090909091,0.06762286167426534
rte,100,11,deberta-v3-large,bert-base-cased,0.4790869105485163,0.4100238428203847,0.2935903373670295,0.2000783566513311
rte,100,11,deberta-v3-large,bert-base-uncased,0.6770986832615002,0.5694775594727565,0.40368671387966554,0.22105252887840043
rte,100,11,deberta-v3-large,albert-base-v2,0.2503566571921284,0.2779050490227052,0.2201927530252721,0.13546339439267358
rte,100,11,deberta-v3-large,albert-large-v2,0.11143146187385297,0.10022805046720515,0.07339758434175737,0.12365899632612862
rte,100,11,deberta-v3-large,roberta-base,0.7170952137037369,0.7107079942220002,0.5504818825631803,0.103686379602424
